               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.013371,            0.021386,          0.00067671,             0.98677,             0.99184,              0.9943,             0.93513,            0.010682,            0.018805,          0.00029531,           0.0034825,           0.0034825,           0.0034825
                  81,            0.013304,            0.021259,          0.00066741,             0.98667,             0.99218,             0.99431,             0.93627,            0.010651,            0.018755,          0.00029379,              0.0034,              0.0034,              0.0034
                  82,            0.013265,            0.021204,          0.00066962,              0.9863,             0.99231,             0.99436,             0.93674,            0.010619,            0.018703,          0.00029219,           0.0033175,           0.0033175,           0.0033175
                  83,             0.01318,            0.021064,          0.00066623,             0.98597,             0.99271,             0.99437,             0.93695,            0.010586,            0.018644,          0.00029088,            0.003235,            0.003235,            0.003235
                  84,            0.013116,            0.021015,          0.00064506,             0.98651,             0.99196,             0.99438,             0.93746,            0.010554,            0.018593,          0.00028966,           0.0031525,           0.0031525,           0.0031525
                  85,             0.01308,            0.020872,          0.00065105,             0.98694,             0.99201,             0.99437,             0.93794,            0.010521,            0.018535,          0.00028811,             0.00307,             0.00307,             0.00307
                  86,            0.013044,            0.020846,          0.00063697,             0.98653,             0.99138,             0.99437,             0.93799,             0.01049,            0.018478,          0.00028694,           0.0029875,           0.0029875,           0.0029875
                  87,            0.012977,            0.020749,          0.00063956,             0.98646,             0.99125,             0.99438,             0.93873,            0.010457,            0.018422,          0.00028578,            0.002905,            0.002905,            0.002905
                  88,            0.012898,            0.020554,           0.0006351,             0.98479,             0.99308,             0.99439,             0.93919,            0.010425,            0.018365,          0.00028463,           0.0028225,           0.0028225,           0.0028225
                  89,             0.01284,            0.020399,          0.00062278,             0.98453,             0.99355,             0.99438,             0.93914,            0.010395,            0.018312,          0.00028322,             0.00274,             0.00274,             0.00274
                  90,            0.012812,            0.020408,          0.00062042,             0.98493,             0.99292,             0.99438,             0.93956,            0.010365,            0.018258,          0.00028184,           0.0026575,           0.0026575,           0.0026575
                  91,            0.012691,            0.020173,          0.00060163,             0.98561,             0.99249,             0.99435,             0.93992,            0.010335,            0.018207,           0.0002805,            0.002575,            0.002575,            0.002575
                  92,             0.01269,            0.020128,          0.00061375,             0.98718,              0.9908,             0.99432,             0.94038,            0.010304,            0.018155,          0.00027918,           0.0024925,           0.0024925,           0.0024925
                  93,            0.012591,            0.020038,          0.00060445,             0.98755,             0.99023,             0.99432,             0.94065,            0.010271,              0.0181,          0.00027779,             0.00241,             0.00241,             0.00241
                  94,             0.01258,            0.019976,          0.00060479,             0.98753,             0.99017,             0.99429,             0.94106,             0.01024,            0.018047,          0.00027646,           0.0023275,           0.0023275,           0.0023275
                  95,            0.012469,            0.019794,          0.00058866,             0.98871,              0.9898,             0.99427,             0.94114,            0.010208,             0.01799,          0.00027508,            0.002245,            0.002245,            0.002245
                  96,            0.012387,            0.019616,          0.00057469,             0.98876,             0.98988,              0.9943,             0.94201,            0.010176,            0.017933,          0.00027397,           0.0021625,           0.0021625,           0.0021625
                  97,            0.012317,            0.019483,          0.00057527,             0.98843,             0.98995,             0.99426,             0.94218,            0.010143,            0.017878,          0.00027275,             0.00208,             0.00208,             0.00208
                  98,            0.012251,            0.019402,          0.00056667,              0.9881,             0.99012,             0.99427,              0.9423,            0.010111,            0.017827,          0.00027151,           0.0019975,           0.0019975,           0.0019975
                  99,            0.012145,            0.019024,          0.00055049,             0.98809,              0.9904,             0.99425,              0.9428,            0.010078,            0.017771,          0.00027025,            0.001915,            0.001915,            0.001915
                 100,            0.012058,             0.01893,          0.00053899,             0.98824,              0.9903,             0.99423,             0.94365,            0.010044,            0.017714,          0.00026906,           0.0018325,           0.0018325,           0.0018325
                 101,            0.011977,            0.018714,          0.00053656,              0.9882,              0.9901,             0.99413,             0.94419,             0.01001,            0.017661,          0.00026773,             0.00175,             0.00175,             0.00175
                 102,            0.011897,            0.018545,          0.00052355,             0.98845,             0.99019,             0.99413,             0.94508,           0.0099789,            0.017611,          0.00026639,           0.0016675,           0.0016675,           0.0016675
                 103,            0.011851,            0.018439,          0.00052436,              0.9883,             0.99038,             0.99411,             0.94544,           0.0099466,            0.017559,          0.00026521,            0.001585,            0.001585,            0.001585
                 104,            0.011743,            0.018259,           0.0005071,             0.98829,             0.99117,             0.99412,             0.94595,           0.0099133,            0.017504,          0.00026392,           0.0015025,           0.0015025,           0.0015025
                 105,             0.01165,             0.01813,          0.00050062,             0.98853,             0.99085,             0.99419,             0.94638,           0.0098793,             0.01745,          0.00026268,             0.00142,             0.00142,             0.00142
                 106,             0.01158,            0.017931,          0.00049434,             0.98859,              0.9908,             0.99421,               0.947,           0.0098454,            0.017399,          0.00026112,           0.0013375,           0.0013375,           0.0013375
                 107,            0.011509,            0.017813,          0.00049074,             0.98876,             0.99117,             0.99419,             0.94738,           0.0098124,            0.017347,          0.00025953,            0.001255,            0.001255,            0.001255
                 108,            0.011444,            0.017693,          0.00049237,             0.98907,             0.99124,             0.99417,             0.94787,           0.0097778,            0.017291,          0.00025832,           0.0011725,           0.0011725,           0.0011725
                 109,            0.011296,            0.017391,          0.00047286,             0.98939,             0.99139,             0.99414,             0.94832,           0.0097456,            0.017241,          0.00025712,             0.00109,             0.00109,             0.00109
                 110,            0.011223,            0.017187,          0.00046636,             0.98949,             0.99126,              0.9941,             0.94873,           0.0097138,            0.017195,          0.00025585,           0.0010075,           0.0010075,           0.0010075
                 111,             0.01115,            0.017072,           0.0004712,             0.98906,              0.9909,              0.9941,             0.94864,           0.0096819,            0.017152,           0.0002544,            0.000925,            0.000925,            0.000925
                 112,            0.011007,            0.016781,           0.0004537,              0.9892,             0.99094,             0.99414,             0.94926,           0.0096521,            0.017109,          0.00025271,           0.0008425,           0.0008425,           0.0008425
                 113,            0.010963,            0.016646,          0.00045531,             0.98776,             0.99285,             0.99415,             0.94966,           0.0096197,            0.017063,          0.00025118,             0.00076,             0.00076,             0.00076
                 114,            0.010842,            0.016463,          0.00044722,              0.9877,             0.99288,             0.99414,              0.9504,           0.0095858,            0.017018,          0.00024976,           0.0006775,           0.0006775,           0.0006775
                 115,            0.010768,            0.016282,          0.00043853,             0.98755,             0.99301,             0.99413,             0.95081,           0.0095539,            0.016977,          0.00024815,            0.000595,            0.000595,            0.000595
                 116,             0.01065,            0.016032,           0.0004323,             0.98745,             0.99314,             0.99412,             0.95142,           0.0095246,            0.016939,          0.00024673,           0.0005125,           0.0005125,           0.0005125
                 117,            0.010514,            0.015745,          0.00042617,             0.98742,              0.9933,             0.99412,             0.95229,            0.009495,            0.016903,          0.00024552,             0.00043,             0.00043,             0.00043
                 118,            0.010418,            0.015526,           0.0004246,             0.98762,              0.9932,             0.99403,             0.95249,           0.0094674,            0.016874,          0.00024436,           0.0003475,           0.0003475,           0.0003475
                 119,            0.010309,            0.015335,          0.00041208,              0.9872,             0.99364,             0.99396,             0.95252,           0.0094402,            0.016849,          0.00024327,            0.000265,            0.000265,            0.000265
